Title,Description,Keywords,orig_sent_id_1,orig_sent_1,orig_sent_id_2,orig_sent_2,orig_sent_id_3,orig_sent_3,orig_sent_id_4,orig_sent_4
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1153,"By 8.30 pm he had attracted the attention of the watchman for the Maritime Service Board, James Cargill.",1154,It originated as the title of independent princes of Wales in the 12th and 13th centuries.,1155,It serves as an original source of information about the topic.,1156,The most common side effects of taking methylphenidate are nervousness and insomnia.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",493,It is said to be electrogenic; a fish that has the ability to detect electric fields is said to be electroreceptive.,494,He reigned from 1804 to 1824.,495,A supermassive black hole is a black hole with a mass of the order of between 105 and 1010 solar masses.,496,It was also on the London Sunday Times best-seller list for more than four years.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1401,Zhengzhou is the province's capital and most populous city.,1402,United Nations career Lie led the Norwegian delegation to the United Nations conference in San Francisco in 1946 and was a leader in drafting the provisions of the United Nations Security Council.,1403,"Pretoria previously had a rather sinister image as ""the capital of Apartheid South Africa"".",1404,"With approximately 77 million members, the Anglican Communion is the third largest Christian communion in the world, after the Roman Catholic Church and the Eastern Orthodox Churches."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",853,"However, when the war ended he became particularly concerned about the further development and possible use of atomic weapons and with the destruction inflicted on the world by war in general.",854,"Therefore, beliefs are not totally consistent from one Baptist church to another, especially beliefs that may be considered minor.",855,From 1918 to 1920 the province was under the administration of the Democratic Republic of Armenia as the Vanand province (with the city of Kars as its capital).,856,"It debuted at # 20 on VH1's VH1 Top 20 Video Countdown on June 28, 2008."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1429,"The ""Angels"" name originates from the city that was their original home, Los Angeles.",1430,"Article 166 was meant to control the possession of arms, but it was used to target Armenians by restricting them to possess arms.",1431,He was a sure tackler and it was next to impossible to fool him on trick maneuvers.,1432,It peaked at # 3 in the UK singles chart.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1693,"Source Mage GNU / Linux A source code-based distribution, descended from Sorcerer.",1694,"The term is generally applied to all of Morocco, Algeria, and Tunisia, but in older Arabic usage pertained only to the area of the three countries between the high ranges of the Atlas Mountains and the Mediterranean Sea.",1695,"Various objection were raised to this scheme, and the Corporation refused to allow tram lines to be laid in the High Street and Above Bar.",1696,Given these assumptions it is possible to calculate how often they can fail and to arrange the array to make data loss arbitrarily improbable.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",981,"Many specialize in machine construction, medical equipment, international trade, optics and electronics.",982,"In Smithson's will, he stated that should his nephew, Henry James Hungerford, die without heirs, the Smithson estate would go to the government of the United States for creating an ""Establishment for the increase & diffusion of Knowledge among men"".",983,"Satan represents all of the so-called sins, as they all lead to physical, mental, or emotional gratification.",984,The prisoners sentenced to incarceration were transferred to Spandau Prison in 1947.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1673,"Springville is a city in Linn County, Iowa, United States.",1674,"The rotational period of the interior of Uranus is 17 hours, 14 minutes.",1675,"The series attempted to create a setting of a gritty, realistic police station similar to that of NYPD Blue, but differed by focusing on the uniformed police officers rather than the detectives.",1676,Meteorological history A cut-off extratropical cyclone over the central north Pacific moved over an area of ocean with sea surface temperatures as high as 2 ° C above normal for two days.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1025,"As a number One is the integer before two, and after zero.",1026,The storm dropped heavy rainfall near its immediate landfall location but little precipitation elsewhere.,1027,"From about 200 to 30 million years ago, the North American Plate was in continual collision with the Farallon Plate.",1028,"The British described Cheema as a powerful and united, but quarrelsome tribe."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",725,Barr attained national prominence as one of the leaders of the impeachment of President Bill Clinton.,726,"The direct evidence suggests there was a migration of H. erectus out of Africa, then a further speciation of H. sapiens from H. erectus in Africa.",727,"During the 1980s and 1990s, the university devoted substantial resources to renovating its massive hospital complex and improving the academic facilities on the North Campus.",728,"Israel, though subjected to attack by Iraqi missiles, refrained from retaliating in order not to provoke Arab states into leaving the coalition."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",181,Thalassa is irregularly shaped and shows no sign of any geological modification.,182,Introduction Electrical energy conservation is an important element of energy policy.,183,"The film stars Al Pacino, John Cazale, Chris Sarandon, James Broderick, and Charles Durning.",184,"He took to the bush a fortnight later, reportedly with some provisions, an iron pot, and a musket stolen from a marine named Abraham Hand."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1513,She was also instructor in declamation there.,1514,The team's name originated from the burning of Atlanta led by U. S. Army general William Sherman during the American Civil War.,1515,"The Polish people, or Poles (, singular Polak), are a Western Slavic ethnic group of Central Europe, living predominantly in Poland.",1516,"In biology, signal transduction refers to any process by which a cell converts one kind of signal or stimulus into another."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1089,"Barbara Castle, the Minister of Transport, gave approval on 4 August 1967 for the Brixton extension to be built.",1090,"To the south lies the Laurenzenvorstadt, that is, the part of the town formerly outside the city wall.",1091,"Most Paranthropus species seem almost certainly not to have used language nor to have controlled fire, although they are directly associated with the latter at Swartkrans, South Africa.",1092,"In syntax, a verb is a word (part of speech) that usually denotes an action (bring, read), an occurrence (decompose, glitter), or a state of being (exist, stand)."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",405,"2005 According to chapters, Jesus of Nazareth gave this sermon (estimated around AD 30) on a mountainside to his disciples and a large crowd.",406,"Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.",407,Recovery Russia bounced back from the August 1998 financial crash with surprising speed.,408,"He has, however, managed to nail his own legs to a table, and knocked Neil out during a game of cricket, albeit unintentionally."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",293,"Such is in addition, in the coats of arms of some neighboring places.",294,His misadventures are often fueled by his immature mannerisms and his love of food.,295,"This article covers the details of the Preparations for Hurricane Katrina, a major category 5 hurricane that devastated parts of Louisiana, Mississippi, and Alabama.",296,"Editors have so far released two platinum studio albums, selling over 2 million copies between them worldwide."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",809,It is considered one of the most important precursors to the Academy Awards.,810,"Retrieved 2008 - 12 - 25 Album information The title of the album, ""A Little Bit Longer"", comes from their song of the same name, which Nick Jonas wrote about his dealings with having type 1 diabetes.",811,He is especially known for his series The Knickerbocker Gang and his stories about the talking bike Tom Turbo.,812,Interrupt controlled system Some embedded systems are predominantly interrupt controlled.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1457,Werner Heisenberg (5 December 1901 – 1 February 1976) was a German theoretical physicist who made foundational contributions to quantum mechanics and is best known for asserting the uncertainty principle of quantum theory.,1458,It is the heart of all commercial activities in the country.,1459,"Two and a Half Men is an American television sitcom, which premiered on CBS on Monday, September 22, 2003.",1460,"TDL Group announced in March 2006, in response to a request by Chief of the Defence Staff, General Rick Hillier, its commitment to open a franchised location at the Canadian Forces operations base in Kandahar, Afghanistan."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1453,"Under the order, about 200 buses are available in San Antonio and Houston to help in evacuations.",1454,"Kevin Michael Costner (born January 18, 1955) is an American actor, musician, producer, and director.",1455,"A conflict ensues, and when Clara helps the Nutcracker throwing her shoe at the Mouse King, the Nutcracker seizes his opportunity and stabs him.",1456,"Fontane's first published work, the novella Geschwisterliebe (or ""Sibling Love""), appeared in the Berlin Figaro in December 1839."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1505,"It drifted westward, and the next day it organized into a subtropical depression.",1506,"This made her a first cousin of the King's second wife, Anne Boleyn.",1507,"On August 7, 1953, Congress passed a law retroactively setting the date of Ohio's statehood at March 1, 1803, the date when Ohio's first legislature convened.",1508,The employee was eventually rehired at a different nearby location.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",289,The corpses were often left decaying for months.,290,"ECW Background After World Wrestling Entertainment (WWE) bought all of Extreme Championship Wrestling (ECW)'s assets in 2003, the company began releasing DVDs promoting the original ECW.",291,"While on vacation in London, Fraser attended his first professional theatrical performance at the West End.",292,It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard et al.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1185,Eventually 58 of her 77 published works first appeared in the journal's pages.,1186,"History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail.",1187,"She agreed, and light was restored to the earth.",1188,Microsoft phased out all development of its Java Virtual Machine (JVM) from Windows 2000 in SP3.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",857,Queen were an English rock band.,858,"The Village Phone (Polli Phone) project of GP has brought cell-phone ownership to 260,000 rural poor in over 50,000 villages since the beginning of the project in March 1997.",859,Linux distributions began to appear very soon after the Linux kernel was first used by individuals other than the original Linux programmers.,860,"In 1970, Eddy Merckx rode himself to the brink of collapse while winning the stage."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",585,"It consists of the red cross of Saint George (patron saint of England), edged in white, superimposed on the Cross of St Patrick (patron saint of Ireland), which are superimposed on the Saltire of Saint Andrew (patron saint of Scotland).",586,"With the help of an albatross named Orville, the mice fly to the Bayou, and meet a dragonfly named Evinrude, who speeds them in a leaf to the ship where Penny is held.",587,"Her follow-up single ""Girlfriend"" also debuted at number one and her first album, Honey to the B (released immediately afterwards) debuted at Number 14 in the UK album charts.",588,Guangxi (or Guangxi Zhuang Autonomous Region;) is a Zhuang autonomous region of the People's Republic of China.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1805,"When no one showed any interest, Cave took on the task by himself.",1806,It is the largest known non-spherical moon in the solar system.,1807,"Benjamin Jeremy ""Ben"" Stein (born November 25, 1944) is an American actor, writer, and commentator on political and economic issues.",1808,Some of the technologies have been adapted to social networking services and ISPs.
