Title,Description,Keywords,event0,event1,event2,Answer.feedback,Answer.input_event,Answer.q1-obj-use1,Answer.q1-obj-use2,Answer.q1-obj-use3,Answer.q1-obj-use4,Answer.q1-obj1,Answer.q1-obj2,Answer.q1-obj3,Answer.q1-obj4,Answer.q2-obj-use1,Answer.q2-obj-use2,Answer.q2-obj-use3,Answer.q2-obj-use4,Answer.q2-obj1,Answer.q2-obj2,Answer.q2-obj3,Answer.q2-obj4,Answer.q3-obj-use1,Answer.q3-obj-use2,Answer.q3-obj-use3,Answer.q3-obj-use4,Answer.q3-obj1,Answer.q3-obj2,Answer.q3-obj3,Answer.q3-obj4,Answer.req-obj1-na,Answer.req-obj1-sense,Answer.req-obj2-na,Answer.req-obj2-sense,Answer.req-obj3-na,Answer.req-obj3-sense,Approve,Reject
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds grass in PersonX's yard,PersonX destroys toys in hell,PersonX follows PersonX's father 's trail,{},PersonX finds grass in PersonX|PersonX destroys toys in hell|PersonX follows PersonX,find,find grass,{},{},plants,a garden,{},{},destroy,ruin,{},{},playthings,blocks,{},{},follow,follow,{},{},a path,a parent,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX produces another book,PersonX puts blankets in the washing machine,PersonX changes hands glove,{},PersonX produces another book|PersonX puts blankets in the washing machine|PersonX changes hands glove,bring about,be present first,{},{},book,another book,{},{},place in the washing machine,place the blankets in,{},{},blankets,washing machine,{},{},{},{},{},{},{},{},{},{},1.0,1.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX provides evidence in regard,PersonX provides food to persons,PersonX takes coins to the bank,{},PersonX provides evidence in regard|PersonX provides food to persons|PersonX takes coins to the bank,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},bring coins,bring coins,{},{},coin bag,coin package,{},{},0.0,1.0,,0.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX sells fruit at prices,PersonX visits a park near you,PersonX establishes a fence in areas,{},PersonX sells fruit at prices|PersonX visits a park near you|PersonX establishes a fence in areas,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0.0,0.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX grabs fruit from the fridge,PersonX spends some gas looking,PersonX sets oranges aside,{},PersonX grabs fruit from the fridge|PersonX spends some gas looking|PersonX sets oranges aside,keep refrigerator on and food fresh,be able to grab,keep fruit fresh,{},electricity,fruit in the refrigerator,refrigerator,{},drive around in while using gas,pay for more gas when needed,spend while looking,{},car,money,gasoline,{},set aside,put the oranges,{},{},oranges,specific place,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX guides PersonY's dog into the way,PersonX sees zebra in the wild,PersonX finds the remote under the couch,{},PersonX guides PersonY|PersonX sees zebra in the wild|PersonX finds the remote under the couch,attach to leash,guide dog's movement,{},{},collar,leash,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX helps pigs a lot,PersonX increases one 's clothing,PersonX guides PersonY's car into the way,{},PersonX helps pigs a lot|PersonX increases one |PersonX guides PersonY,{},{},{},{},{},{},{},{},sell,sell,sell,{},Clothes,accessories,outer garments,{},guide,guide,{},{},automobile,vehicle,{},{},0.0,1.0,,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives skateboard a go,PersonX contacts the rock with water,PersonX keeps the dogs apart,{},PersonX gives skateboard a go|PersonX contacts the rock with water|PersonX keeps the dogs apart,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0.0,,0.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX helps children with problems,PersonX mixes koolaid together,PersonX watches videos on PersonY's phone,{},PersonX helps children with problems|PersonX mixes koolaid together|PersonX watches videos on PersonY,{},{},{},{},{},{},{},{},mix koolaid,mix koolaid,{},{},mixing machine,mixer,{},{},{},{},{},{},{},{},{},{},0.0,1.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes cake at the end,PersonX takes the boat out on the lake,PersonX sends horses to the convention,{},PersonX takes cake at the end|PersonX takes the boat out on the lake|PersonX sends horses to the convention,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX manages PersonY's computer in PersonX's way,PersonX takes purse to the mall,PersonX gives the box PersonX's name,{},PersonX manages PersonY|PersonX takes purse to the mall|PersonX gives the box PersonX,{},{},{},{},{},{},{},{},drive to the shopping center,park the vehicle,{},{},car,parking lot,{},{},{},{},{},{},{},{},{},{},,0.0,1.0,1.0,0.0,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX pushes open the hatch,PersonX recently saw a dog,PersonX prevents the train from leaving,{},PersonX pushes open the hatch|PersonX recently saw a dog|PersonX prevents the train from leaving,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes meatballs for dinner,PersonX serves the food for years,PersonX takes a taxi to the dog park,{},PersonX makes meatballs for dinner|PersonX serves the food for years|PersonX takes a taxi to the dog park,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts phone in PersonY's hands,PersonX receives the scar from the hands,PersonX buys every tomato,{},PersonX puts phone in PersonY|PersonX receives the scar from the hands|PersonX buys every tomato,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},buy tomato,buy tomato,{},{},Money,coins,{},{},0.0,1.0,,0.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives everyone a card,PersonX bestows upon PersonY the scepter,PersonX sells PersonX's table at the price,{},PersonX gives everyone a card|PersonX bestows upon PersonY the scepter|PersonX sells PersonX,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},buy table,buy table,{},{},money,coins,{},{},0.0,1.0,,0.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX kisses the cat on the cheek,PersonX arrives home from work,PersonX holds another dog,{},PersonX kisses the cat on the cheek|PersonX arrives home from work|PersonX holds another dog,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX strains every soup,PersonX posts book on fb,PersonX beats back the wall,{},PersonX strains every soup|PersonX posts book on fb|PersonX beats back the wall,separate solids from liquid soup,hold the soup,{},{},strainer,pot,{},{},access social media,to type out message,{},{},computer,keyboard,{},{},{},{},{},{},{},{},{},{},1.0,1.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses the microscope to find,PersonX prevents spider from reaching,PersonX keeps PersonX's horse under control,{},PersonX uses the microscope to find|PersonX prevents spider from reaching|PersonX keeps PersonX,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},steer the horse,keep the horse docile,{},{},reigns,stirrups,{},{},,0.0,,0.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts the pump into operation,PersonX attacks another mailbox,PersonX reaches the water 's faucet,{},PersonX puts the pump into operation|PersonX attacks another mailbox|PersonX reaches the water,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},touch it,touch,{},{},hands,a sink,{},{},,0.0,,0.0,,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX avoids the animals altogether,PersonX also gave PersonY clothes,PersonX passes the phone upon PersonY,{},PersonX avoids the animals altogether|PersonX also gave PersonY clothes|PersonX passes the phone upon PersonY,avoid altogether,avoid altogether,avoid altogether,avoid altogether,varmints,creatures,dogs,beasts,give to PersonY,give to PersonY,give to PersonY,give to PersonY,dresses,slacks,coat,sweater,pass upon PersonY,pass upon PersonY,pass upon PersonY,{},cellphone,horn,mobile,{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX applies the test to the study,PersonX shares PersonX's pizza with others,PersonX really like the car,{},PersonX applies the test to the study|PersonX shares PersonX|PersonX really like the car,{},{},{},{},{},{},{},{},give to people,put the food on,{},{},food,plates,{},{},{},{},{},{},{},{},{},{},,0.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX places the book in the hands,PersonX uses visine often,PersonX makes cake at work,{},PersonX places the book in the hands|PersonX uses visine often|PersonX makes cake at work,put in the hands,put the book in,{},{},book,hands,{},{},put in their eyes,put the visine in,{},{},visine,eyes,{},{},bake at work,bake the cake in,{},{},cake,pan,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX also gave clothes,PersonX makes cake in terms,PersonX raises a wall to build,{},PersonX also gave clothes|PersonX makes cake in terms|PersonX raises a wall to build,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX washes one another 's clothes,PersonX puts pen to paper,PersonX shows every monitor,{},PersonX washes one another |PersonX puts pen to paper|PersonX shows every monitor,{},{},{},{},{},{},{},{},to write with,to write on,{},{},pen,paper,{},{},{},{},{},{},{},{},{},{},,0.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX leaves PersonX's newspaper behind,PersonX sets the timer for the rest,PersonX uses oar to support,{},PersonX leaves PersonX|PersonX sets the timer for the rest|PersonX uses oar to support,{},{},{},{},{},{},{},{},set the timer on,set the timer on,{},{},alarm clock,phone,{},{},lean on,get the oar from,{},{},paddle,canoe,{},{},0.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX serves every drink,PersonX leaves the house soon,PersonX watches tv all the time,{},PersonX serves every drink|PersonX leaves the house soon|PersonX watches tv all the time,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,,0.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds cards in the attic,PersonX puts a cake into the oven,PersonX saves car from destruction,{},PersonX finds cards in the attic|PersonX puts a cake into the oven|PersonX saves car from destruction,{},{},{},{},{},{},{},{},put the cake into the oven,safely put the cake into the oven,{},{},hot pads,gloves,{},{},{},{},{},{},{},{},{},{},0.0,1.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX burns the candle at both ends,PersonX studies history for years,PersonX sticks the knife in the vegetables,{},PersonX burns the candle at both ends|PersonX studies history for years|PersonX sticks the knife in the vegetables,{},{},{},{},{},{},{},{},read history,research online,{},{},textbooks,computer,{},{},{},{},{},{},{},{},{},{},0.0,1.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX walks another cat,PersonX carries the couch back,PersonX sells PersonY's book at a price,{},PersonX walks another cat|PersonX carries the couch back|PersonX sells PersonY,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
