Title,Description,Keywords,id,sample_number_of_best_expl,premise,hypothesis,gold_label,which_gold,explanation_1,explanation_2
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_178,1,Man is shaving in the mirror.,The man has no facial hair.,false,1,A man shaving in the mirror could have facial hair around his chin or cheeks.,The man can't be shaving if he has no facial hair.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_25,greedy,An Obama Biden supporter cheers for the Presidential candidate and his running mate.,Someone is cheering for a presidential candidate.,true,0,supporter cheers is rephrased as someone is cheering.,"If someone is cheering for a presidential candidate, then they are cheering for a presidential candidate."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_170,2,An officer in a black uniform and hat stands to the left of a large structure with other officers in the background.,An officer enjoys coffee in a shop.,false,0,One cannot be in a shop and standing to the left of the structure.,An officer in a structure standing to one side is not the same as enjoying coffee in a shop.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_45,greedy,Two men are playing during a basketball game.,Two men are playing.,true,0,"Two men are playing during a game, therefore they are playing.","If two men are playing, then they are playing a game."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_93,greedy,"Coach talks with football player, other players and crowd in background.",A football coach is instructing a player on the sidelines,neither,0,Talking with the players does not mean the coach is instructing them on sidelines.,A coach could be instructing a player on the sidelines without being on the sidelines.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_148,greedy,Girl wearing white shirt sings on stage while playing guitar,A girl plays guitar and sings for a crowd.,neither,1,Playing guitar and singing for a crowd does not necessarily mean the girl is wearing a white shirt.,A girl can sing or play guitar on a stage that doesn't have a crowd.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_20,greedy,A young man blew up balloons to craft into animals for the seven excited children that looked on.,A man is making cotton candy for the children.,false,0,There is no indication that the man is either young or old in sentence 2. One is making animals out of balloons and the other is making candy.,"The man is not making cotton candy, he is making animals out of balloons."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_209,greedy,A kid with his face painted is at the top of a concrete structure with asterisks carved inside.,His face is painted to look like a tiger.,neither,1,"The boy's face is painted, but it is not painted to look like a tiger.",Just because a kid has his face painted it does not mean he looks like a tiger.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_29,0,Three young girls in winter clothing and hats look at disposable cameras they are holding.,The temperature is a scalding 100 degrees fahrenheit.,false,1,"If it is winter, the temperature isn't 100 degrees fahrenheit. Indeed, if it's that hot during winter, it would be a pretty strange winter.",Girls would not wear winter clothing if ti was 100 degrees
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_57,2,A group of people sitting and knitting.,A group of women are knitting.,neither,0,"Sentence one says ""people."" It doesn't say they're all women.","knitting is a human activity that anybody can do, not just women."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_79,greedy,Two men working in a small factory.,Men working in a factory.,true,1,"Given that two men are working in a factory, they are working in a factory.",'Men working in a factory' is a less detailed rephrasing of 'Two men working in a small factory'.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_61,greedy,A woman taping a paper notice to a board.,A woman taping something to a board.,true,1,Taping something to a board is taping something to a board.,A paper is something.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_63,2,Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is cooking something to eat.,true,1,"If a person cooks something to eat, he must be cooking.","Meat is cooked in a kitchen, and is a food that you eat. Using an oven mitt implies you're about to cook with hot utensils."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_42,greedy,A group of people and a dog sitting on the steps.,A group of people and a dog are waiting for the plumber.,neither,0,You can sit on the steps without waiting for the plumber.,Just because a group of people and a dog are sitting on the steps does not mean they are waiting for the plumber. They could be waiting for someone else or just sitting on the steps.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_194,3,"A laughing man is sitting in a camp chair with his arms outstretched, while a man in a black shirt next to him is stuffing his face.",the man bet the other man to eat 40 cookies,neither,0,Nothing is said about a bet to eat 40 cookies.,"The man eating cookies is not necessarily a bet. The ""bet"" could be the man in the jacket placing the bet with the other. Neither man may bet, or they may both bet."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_13,greedy,A child with a yellow shirt riding a yellow bike in a city.,A kid riding his bike home.,neither,1,"Just because a child is riding a bike does not mean he is riding it home. He could be riding it to a friend's house, or to the store.","the child can ride bike to anywhere, not a must to go home."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_238,greedy,A little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him.,A girl puts on some sunglasses,false,0,A girl is not a boy. He does not put the sunglasses up to a window at the same time as he puts on the sunglasses.,Putting on sunglasses is not the same as watching someone put on sunglasses.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_160,greedy,Two men riding a boat in clear water on a sunny day.,A couple people are doing activities on a nice day in a boat.,true,1,"If the people are on a boat, they are in the water, and if they are in the water, it is a sunny day.",Two men are a couple people.
