Title,Description,Keywords,pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights,Answer.isParaphrase,Answer.possAlignments,Answer.sourceHighlights,Answer.sureAlignments,Answer.targetHighlights
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 3-2 8-0 8-1 8-2 8-3 8-4 8-5 8-6 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,1-Feb,unchanged,0-0 1-6 3-2 4-3 4-4 5-3 5-4 6-3 6-4 7-3 7-4 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 0-1 0-3 0-9 0-10 0-11 1-4 1-6 1-8 2-7 3-2 3-6 4-1 4-5 4-8 4-10 5-0 5-1 5-4 6-3 6-8 6-10 7-1 7-2 7-4 7-6 7-8 8-0 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 2-4 3-2 4-9 5-10 6-6 7-8 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 3-2 4-3 4-4 5-3 5-4 6-3 6-4 7-3 7-4 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 3-2 6-3 6-4 7-3 7-4 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 3-2 5-0 5-11 6-11 7-11 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},2 4 5,0-0 1-6 3-2 6-4 7-4 8-11,1 3 5 7 8 9 10
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,0-0 0-1 0-2 2-0 2-1 2-2 3-0 3-1 3-2,{},1-5 1-6 4-3 4-4 5-3 5-4 6-3 6-4 7-3 7-4 8-11,7 8 9 10
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},{},0-0 0-1 1-6 3-2 6-3 6-4 7-3 7-4 8-11,7 8 9 10
