Title,Description,Keywords,sentence,summary,model,adhered,Answer.Q1,Answer.Q2,Answer.Q3
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","Under that proposal, the number of stores would drop from about 250 to 24, with the only remaining locations being overseas and in rural areas, the group said.",proposal the number of stores would drop in rural areas,liuetal_ratio_05,False,2.0,3.0,2
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","Under that proposal, the number of stores would drop from about 250 to 24, with the only remaining locations being overseas and in rural areas, the group said.",proposal the number of stores would drop in rural areas,liuetal_ratio_05,False,2.0,2.0,2
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","Under that proposal, the number of stores would drop from about 250 to 24, with the only remaining locations being overseas and in rural areas, the group said.",proposal the number of stores would drop in rural areas,liuetal_ratio_05,False,2.0,2.0,2
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","In one New Jersey county, the Red Cross was AWOL, says Lt. Matthew Tiedemann of the Bergen County Office of Emergency Management.",in new jersey county red cross awol lt. <|unk|> emergency management,liuetal_ratio_05,True,3.0,3.0,2
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","In one New Jersey county, the Red Cross was AWOL, says Lt. Matthew Tiedemann of the Bergen County Office of Emergency Management.",in new jersey county red cross awol lt. <|unk|> emergency management,liuetal_ratio_05,True,1.0,1.0,1
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","In one New Jersey county, the Red Cross was AWOL, says Lt. Matthew Tiedemann of the Bergen County Office of Emergency Management.",in new jersey county red cross awol lt. <|unk|> emergency management,liuetal_ratio_05,True,1.0,2.0,1
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","The company says on its in-app purchasing site, “For In-App Purchasing for PC, Mac and Web-based games, please contact us to discuss revenue share.”",The company says that it's in-app purchasing site.,control_code_fluent10_step5_02_04,True,2.0,2.0,2
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","The company says on its in-app purchasing site, “For In-App Purchasing for PC, Mac and Web-based games, please contact us to discuss revenue share.”",The company says that it's in-app purchasing site.,control_code_fluent10_step5_02_04,True,3.0,3.0,3
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","The company says on its in-app purchasing site, “For In-App Purchasing for PC, Mac and Web-based games, please contact us to discuss revenue share.”",The company says that it's in-app purchasing site.,control_code_fluent10_step5_02_04,True,2.0,2.0,3
Evaluate Summaries of Sentences,Evaluate basic quality of summaries for individual sentences,"summary, text","Several rebel groups operate in the Golan, while Islamic State has no known presence.",Islamic State has no known presence.,control_code_fluent10_step5_02_04,False,3.0,3.0,2
