Title,Description,Keywords,goal1,goal2,goal3
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",promote the world's literature,carry out PersonX's purpose,await PersonX's turn
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",publish PersonY's work,browse PersonY's collection,take advantage of the opportunities
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",receive PersonX's education,deserve PersonY's attention,read PersonY thoughts
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",marry PersonY's sister,earn PersonY living,bring PersonY news
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get near PersonY,increase PersonY's power,resume PersonX's work
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",see PersonY's works,begin PersonX's march,remove PersonX's hat
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonX's course,carry on PersonY's work,learn PersonY's language
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",kill PersonY's father,plead PersonX's cause,fall within the range
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",show PersonX's appreciation,satisfy PersonY's desires,look at PersonY watch
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cut PersonX's throat,kill PersonX's wife,make PersonX's statement
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry out PersonX's functions,love PersonX's husband,build PersonX's nest
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",determine PersonX's value,beat PersonX's wife,move toward the door
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY a time,make PersonY's home,join PersonY's party
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get in PersonY's way,improve PersonX's knowledge,increase PersonX's power
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's rounds,pay PersonY's share,pursue PersonX's way
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry in PersonX's hand,receive PersonX's share,turn PersonY loose
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonX's houses,educate PersonX's children,change PersonX's attitude
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",explain PersonX's position,go from house to house,turn PersonY head
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lay down PersonX's life,become PersonY's president,take PersonY's life
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonY's course,make PersonY analysis,hold PersonX's tongue
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",slap PersonY on the back,resume PersonY's place,hold PersonX's position
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's share,send PersonY word,make room for PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",follow PersonY's advice,threaten PersonY's existence,raise PersonY's level
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",rub PersonX's chin,settle PersonX's affairs,call upon the name
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",depend upon the degree,become PersonY expert,use PersonX's resources
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",develop PersonY interest,go back years,improve PersonX's situation
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",draw attention to the fact,support PersonY's efforts,come to PersonY's mind
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonY's work,give PersonY PersonX's hand,give PersonY's permission
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",turn PersonY back,see PersonY father,take PersonX's hand in PersonY's
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY's opinion,wait upon PersonY,fulfil PersonY's mission
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",look upon PersonY,give PersonX's reasons,gnash PersonX's teeth
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",shade PersonY's eyes,pay PersonX's expenses,control PersonX's anger
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",await PersonY's turn,provide for PersonY's children,sit opposite PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",demonstrate PersonX's ability,protect PersonX's rights,drive PersonY automobile
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's value,finish PersonX's work,sell PersonX's products
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",change PersonX's position,accomplish PersonX's purposes,control PersonY's lives
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",protest PersonY's innocence,attain PersonX's object,contribute to PersonY's understanding
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",explain PersonY's position,obtain PersonY's release,stroke PersonX's beard
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",protect PersonY's privacy,breathe PersonX's last,reach PersonX's goals
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cover PersonY area,coordinate PersonY's efforts,carry out PersonX's threat
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",exercise PersonX's rights,love PersonX's children,end PersonX's days
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",please PersonX's father,occupy PersonY position,change PersonX's religion
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",leave PersonX's country,follow PersonY's course,create PersonY environment
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",go along with PersonY,limit PersonY's ability,open PersonY eyes
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's name,find PersonY evidence,lose PersonX's identity
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonX's house,give PersonY opportunity,run for PersonX's lives
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get hold of PersonY,die for PersonX's sins,lose PersonY job
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's productivity,give PersonY example,take PersonY's lives
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY's breath away,save PersonY the trouble,make PersonY's rounds
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",accomplish PersonX's objectives,increase PersonY's profits,improve PersonX's ability
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cause PersonY's death,outlive PersonY's usefulness,extend PersonX's power
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY to marry,carry PersonY along,lay hands on PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",play PersonX's part,understand PersonX's significance,become PersonY instrument
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",retain it beyond the time,hear PersonY's talk,cut PersonX's losses
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",know PersonY's value,pursue PersonX's goals,make PersonY progress
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",tell PersonY know,withdraw PersonY's support,accomplish PersonY's objectives
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",fall in PersonY's way,pay PersonY fee,serve PersonX's ends
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonY's houses,leave PersonY's country,hear PersonY voice
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",leave PersonX's post,take PersonY role,support PersonX's argument
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",flap PersonX's wings,resolve PersonX's problems,use PersonY name
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",save PersonX's skin,give PersonY the right,run PersonY's business
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",provide PersonY understanding,kill PersonY's children,ask PersonY to come
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",depend upon the size,kill PersonY's son,represent PersonY's interests
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",hold PersonX's tongues,stand on PersonX's feet,go beyond the scope
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lose PersonX's ability,meet PersonY's requirements,continue PersonX's efforts
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",bid PersonY farewell,tell PersonY had happened,fill PersonY's heart
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",be beyond PersonX's control,browse PersonX's collection,come into PersonY's mind
