Title,Description,Keywords,ObjectUseId1,Object1,Use1,ObjectUseId2,Object2,Use2,ObjectUseId3,Object3,Use3
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Hp28omgn521ENgfN+o3Gog==,An off button,switch the AC off,zAOpO6x5Xu2MICV8lZqXjA==,cellphone,dial a number,u2hsTDu9h+9yjI12l0Lk9w==,costume,greet neighbors in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",4U2w6pHB1iu4utCVKmqYVw==,mop,remove dirty residue,TksLAdTdHGzpuXV0mxdBLg==,boots,hike around in,UN74SDe9egSkkiai6mMPlg==,coin,reveal the numbers
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",uuuXCD90vqnENITIN3/IrQ==,box,place the shoes,zT2J5MBu+C6NNFnMBcP2nw==,insurance papers,to cover accidents,Sx1eQVzaUCrdygDgYZ45YQ==,cell phone,program phone
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",duH2liNNbnHK+SARkHnEiA==,ingredients,combine for the dish,LdIRmYDizDKtQ9oSZQhl2A==,harness,wear on body,/DYHM1UnBlizAwEM26PhUQ==,contact,let persony  get together
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",76aGHuDqoxeh++SkPTczTQ==,container,put pie,Lsb5xUfjcyx+Qk0gIm74lA==,gameboard,play with,s/obEj0C1lZ/mWV5e+q8yQ==,a cloth,clear up the spillage
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",xHrr02P1DgjIJvkoLFgIUw==,shorts,exercise comfortably,GIqOnIRUMqItmIQSqkoi9A==,items,purchase from the store,EI89PmDKaQwJaH/k1o5+GQ==,burger,eat for lunch
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",3Y4IHQ0t/xPzjh7OvEuYrw==,reusable bag,carry cards,B6d5oGBZADwshvZT/jBAGw==,treadmill,run on with running shoes,3e7Gw88auBXfo6GD1u1DtA==,Shoe box,put the purchased shoes in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",6VFBG2jDlt+gIDMHJFVFnw==,sheet music,read the beats,QMBKdnyla8ZC4mSlxa3whw==,Shelves,stack the books,gGhOQ1yi/E0t4oDKKsxcXA==,bus,carry PersonX to the restaurant
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Z+WgC6XZ8pNiqKf9YDXbGg==,identification,prove they're of age,MzHevoy31m6rH/o84Rjdcw==,currency,purchase the computer CDs,F5OTHGJEZJDESYyr1Wbk0Q==,coins,pay for other person's pass
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",hXiqT0WNgWNDKe5JQUpEbQ==,food,feed child,Ig6DnAGaa83xGMDlbbV1vw==,recorder,tape the performance,172o/UkoUpjt8hk7vnvlzA==,a home,have a back yard in.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",vfJEzQtYgVoqTDQmFTDv1w==,roller,put the pain on,lKi8n3WVhhV86GfhkFkM2g==,salad fork,consume the first course with,0P2jtkJhnBFaKoAyegVJMw==,knob,grasp door to open it
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",EU+aPhA1XV2zmGQMMQnDWw==,lamp,to turn off,+5OJ4DeeZJyJWv/L9XNUuQ==,currency,pay for drink,fVJG/t556puIe8nYGwcLjw==,wineglass,have wine in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Wgc+z9p35kw+fA2Q9y0YIQ==,accelerator pedal,step on to make the car go,KMZSuo/3+oZQBcTQeDxSXw==,screws,screw into the furniture,ltcjfKCWJwygc9Y2LRbLRw==,sponsorship,raise money during the race
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",pKq7QN/5ej6Iv2AIhTO+Ug==,a menu,see how much they owe to the driver,iPg8/U1zcyM501cVrSH3Uw==,Pot,boil water,O9XNZZSkcvaS4Hgn5QvckQ==,a remote,change the channels.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",unnRS9YiAuHhbWaXxfLJ7g==,taxi,get to house,oXzHMikYDsRk7+ebXDXibA==,clothes,look like the real natives,yv25+bFAtTqupkx7FBB1Mg==,cigarette,smoke from
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",lANjqmv4BFxeM5J3aGdNJA==,prize,award to X,97Y32gdTU16u6/5KBUFb8A==,alcohol,drink down,f9BoUdbP5Ge8rTNNfIUazg==,a box,lug the books in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",CQQplx8kAj9Z32/o9slNVA==,Fitness tracker,Track calories,gANY1R6Eyq987ILNVLiwNw==,tickets,gain entry to the park,8TiLzBuVaAjpt3gE980yQA==,boat,go out on the water
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",suL6OG/QfIRJw4qZvYVX0Q==,telephone,call the doctor and schedule a flu shot asap.,50lU6N4n3JbC3tjy3dBB+A==,spray bottles,put cleaner on,2t8Ze18x9rACc3wYs37bsQ==,video editor,blur their face in the recorded interview that is taped.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",oomluJgy9EKhQ60QbW5u0w==,letter opener,rip envelope open,MianlNwjtr1YZ8ySoihHXw==,id,get into appointment,BZpP8hYtx1EJ+/NgmPGLTA==,lozenge,take to soothe their throat
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ahNNCHz9bIz7notG/Xa5sw==,Belnder,make it,6y+fY6FML4dsWWp/0+r/iA==,a cell phone,talk to a doctor,mVE8rhXGJgk6an3GBuRgWw==,paper plate,hold the pie
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",WzTyfhUKlb6YdEagRbai4Q==,library card,use library for research,38wux3lhZ28AgP5cxnBACw==,a pencil,mark the calendar,PmPwHTCQMdEfkneCIE0bmw==,popcorn,purchase before sitting down
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",aciyc7y1RBhlxQeLsY3oBg==,net,throw ball into,CrXmtLDLla0YLgd+xrmfdQ==,cup,drink water with,2oVZfAMpPO2omnchUoOGdg==,knife,cut the gourds
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",PI3FN7jximLKcbp9h9Vo2A==,automobile,pick up date,6M0DwRKPPxt3kd8qLX/W+g==,padlock,secure the bike,JM49c6+ntnWfiE61Y5glKA==,fence,crash into with their car
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",/OWxpTIiVPmkaHqFNOmMrw==,beach bag,keep the towel dry,oMCPBBGFZOw7cvA9dGaiAg==,television,see lottery numbers,svMF+pc2O26wX6jVM+mIFg==,road,turn car around on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",CcaErUaGPg8nnnqOyToQcQ==,gasoline,fuel the tractor,ya04YK/Q5WZMHBnXi1Yteg==,aspirin,dull the pain,U4A3e8mKwRJZFV+FU1ycZA==,chair,sit down while typing
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ppqj+oBsb0ITXtPJBheYiA==,receipt,prove the purchase,12x2+K4FvnvP3a1LvB3uGw==,Resume,remind Person X who Person Y is.,xtabfZOR5ICwBzPk7pxqJQ==,notepad,write food on
